source,dest,month_code,qty,Unnamed: 4,Unnamed: 5,month
NDC_Changshu,RDC_Lanzhou,Period_007,60422,,,7
NDC_Changshu,RDC_Hangzhou,Period_010,60116,,,10
NDC_Changshu,RDC_Shanghai1,Period_012,60056,,,12
NDC_Changshu,RDC_Huaian,Period_011,59731,,,11
NDC_Changshu,RDC_Changchun,Period_009,59127,,,9
NDC_Changshu,RDC_Wuhan,Period_011,59057,,,11
NDC_Changshu,RDC_Shanghai2,Period_011,58623,,,11
NDC_Changshu,RDC_Nanjing,Period_011,58573,,,11
NDC_Changshu,RDC_Jinan,Period_006,57789,,,6
NDC_Changshu,RDC_Handan,Period_011,57011,,,11
NDC_Changshu,RDC_Ningbo,Period_011,56992,,,11
NDC_Changshu,RDC_Hefei1,Period_012,56968,,,12
NDC_Changshu,RDC_Liaoning,Period_009,55701,,,9
NDC_Changshu,RDC_Changsha,Period_006,55300,,,6
NDC_Changshu,RDC_Hefei1,Period_011,55287,,,11
NDC_Changshu,RDC_Lanzhou,Period_008,55230,,,8
NDC_Changshu,RDC_Wulumuqi,Period_006,55188,,,6
NDC_Changshu,RDC_Lanzhou,Period_006,54966,,,6
NDC_Changshu,RDC_Puyang,Period_011,54318,,,11
NDC_Changshu,RDC_Zhengzhou,Period_010,54297,,,10
NDC_Changshu,RDC_Baoding,Period_011,54254,,,11
NDC_Changshu,RDC_Suzhou,Period_009,54220,,,9
NDC_Changshu,RDC_Shangqiu,Period_011,53623,,,11
NDC_Changshu,RDC_Wuhan,Period_010,53552,,,10
NDC_Changshu,RDC_Xian1,Period_008,53395,,,8
NDC_Changshu,RDC_Changchun,Period_012,52646,,,12
NDC_Changshu,RDC_Tianjin,Period_008,52307,,,8
NDC_Changshu,RDC_Shanghai1,Period_011,52223,,,11
NDC_Changshu,RDC_Ningbo,Period_009,51800,,,9
NDC_Changshu,RDC_Mianyang,Period_006,51066,,,6
NDC_Changshu,RDC_Wuxi,Period_012,50967,,,12
NDC_Changshu,RDC_Hefei2,Period_011,49956,,,11
NDC_Changshu,RDC_Shanghai2,Period_010,49901,,,10
NDC_Changshu,RDC_Dalian,Period_006,49232,,,6
NDC_Changshu,RDC_Nanchang,Period_008,49073,,,8
NDC_Changshu,RDC_Zhengzhou,Period_006,48650,,,6
NDC_Changshu,RDC_Liuzhou,Period_004,48394,,,4
NDC_Changshu,RDC_Wulumuqi,Period_008,48392,,,8
NDC_Changshu,RDC_Zhengzhou,Period_007,48166,,,7
NDC_Changshu,RDC_Hangzhou,Period_006,48132,,,6
NDC_Changshu,RDC_Weifang,Period_010,47425,,,10
NDC_Changshu,RDC_Hefei1,Period_009,46171,,,9
NDC_Changshu,RDC_Wuhan,Period_009,45850,,,9
NDC_Changshu,RDC_Xiangfan,Period_008,45759,,,8
NDC_Changshu,RDC_Xiangfan,Period_011,45711,,,11
NDC_Changshu,RDC_Lianyungang,Period_011,45660,,,11
NDC_Changshu,RDC_Liaoning,Period_010,45638,,,10
NDC_Changshu,RDC_Nanchang,Period_007,45328,,,7
NDC_Changshu,RDC_Shanghai2,Period_009,44790,,,9
NDC_Changshu,RDC_Liaoning,Period_008,44722,,,8
NDC_Changshu,RDC_Taiyuan1,Period_009,44594,,,9
NDC_Changshu,RDC_Shanghai2,Period_008,44333,,,8
NDC_Changshu,RDC_Zhengzhou,Period_008,44087,,,8
NDC_Changshu,RDC_Wulumuqi,Period_007,43357,,,7
NDC_Changshu,RDC_Tianjin,Period_009,43099,,,9
NDC_Changshu,RDC_Taiyuan2,Period_012,42801,,,12
NDC_Changshu,RDC_Lianyungang,Period_008,42356,,,8
NDC_Changshu,RDC_Suzhou,Period_010,42354,,,10
NDC_Changshu,RDC_Xian1,Period_009,42178,,,9
NDC_Changshu,RDC_Xian1,Period_010,42020,,,10
NDC_Changshu,RDC_Haerbin,Period_006,41529,,,6
NDC_Changshu,RDC_Weifang,Period_008,41431,,,8
NDC_Changshu,RDC_Tianjin,Period_006,41415,,,6
NDC_Changshu,RDC_Chongqing,Period_011,41329,,,11
NDC_Changshu,RDC_Taizhou,Period_012,41125,,,12
NDC_Changshu,RDC_Neijiang,Period_009,41026,,,9
NDC_Changshu,RDC_Tangshan,Period_007,40615,,,7
NDC_Changshu,RDC_Xian2,Period_011,39799,,,11
NDC_Changshu,RDC_Dalian,Period_009,39782,,,9
NDC_Changshu,RDC_Xiangfan,Period_010,39672,,,10
NDC_Changshu,RDC_Neijiang,Period_012,39636,,,12
NDC_Changshu,RDC_Puyang,Period_010,39092,,,10
NDC_Changshu,RDC_Chongqing,Period_012,39068,,,12
NDC_Changshu,RDC_Neijiang,Period_011,38415,,,11
NDC_Changshu,RDC_Mianyang,Period_007,37808,,,7
NDC_Changshu,RDC_Changchun,Period_007,37530,,,7
NDC_Changshu,RDC_Hangzhou,Period_008,37327,,,8
NDC_Changshu,RDC_Changchun,Period_010,37245,,,10
NDC_Changshu,RDC_Xiangfan,Period_009,37061,,,9
NDC_Changshu,RDC_Shijiazhuang,Period_007,36614,,,7
NDC_Changshu,RDC_Meishan,Period_012,36587,,,12
NDC_Changshu,RDC_Xian2,Period_012,36442,,,12
NDC_Changshu,RDC_Jinzhou,Period_011,36193,,,11
NDC_Changshu,RDC_Tianjin,Period_007,36191,,,7
NDC_Changshu,RDC_Tangshan,Period_009,36182,,,9
NDC_Changshu,RDC_Shijiazhuang,Period_009,35649,,,9
NDC_Changshu,RDC_Changsha,Period_008,34530,,,8
NDC_Changshu,RDC_Shangqiu,Period_010,34497,,,10
NDC_Changshu,RDC_Nanyang,Period_012,34376,,,12
NDC_Changshu,RDC_Maanshan,Period_009,34111,,,9
NDC_Changshu,RDC_Dalian,Period_012,34086,,,12
NDC_Changshu,RDC_Shanghai1,Period_008,33851,,,8
NDC_Changshu,RDC_Liaoning,Period_006,33810,,,6
NDC_Changshu,RDC_Huaian,Period_009,33553,,,9
NDC_Changshu,RDC_Dalian,Period_010,33345,,,10
NDC_Changshu,RDC_Shangqiu,Period_009,33278,,,9
NDC_Changshu,RDC_Baoding,Period_007,32738,,,7
NDC_Changshu,RDC_Shanghai1,Period_010,32582,,,10
NDC_Changshu,RDC_Nanchang,Period_005,32500,,,5
NDC_Changshu,RDC_Shijiazhuang,Period_010,32417,,,10
NDC_Changshu,RDC_Hefei1,Period_010,32415,,,10
NDC_Changshu,RDC_Neijiang,Period_010,32341,,,10
NDC_Changshu,RDC_Puyang,Period_006,32145,,,6
NDC_Changshu,RDC_Ningbo,Period_010,32047,,,10
NDC_Changshu,RDC_Guiyang,Period_012,31950,,,12
NDC_Changshu,RDC_Maanshan,Period_011,31793,,,11
NDC_Changshu,RDC_Weifang,Period_009,31721,,,9
NDC_Changshu,RDC_Huhehaote,Period_012,31630,,,12
NDC_Changshu,RDC_Wuxi,Period_009,31396,,,9
NDC_Changshu,RDC_Suzhou,Period_007,31266,,,7
NDC_Changshu,RDC_Yangzhou,Period_011,31212,,,11
NDC_Changshu,RDC_Jinzhou,Period_009,31040,,,9
NDC_Changshu,RDC_Nanjing,Period_010,31033,,,10
NDC_Changshu,RDC_Wulumuqi,Period_005,30710,,,5
NDC_Changshu,RDC_Shijiazhuang,Period_008,30637,,,8
NDC_Changshu,RDC_Tangshan,Period_010,30478,,,10
NDC_Changshu,RDC_Shanghai1,Period_009,30325,,,9
NDC_Changshu,RDC_Taiyuan2,Period_010,30323,,,10
NDC_Changshu,RDC_Nanchang,Period_006,30067,,,6
NDC_Changshu,RDC_Liaoning,Period_007,30020,,,7
NDC_Changshu,RDC_Tangshan,Period_008,29967,,,8
NDC_Changshu,RDC_Baoding,Period_008,29938,,,8
NDC_Changshu,RDC_Huaian,Period_010,29789,,,10
NDC_Changshu,RDC_Shangqiu,Period_006,29662,,,6
NDC_Changshu,RDC_Lianyungang,Period_010,29326,,,10
NDC_Changshu,RDC_Nanjing,Period_009,29326,,,9
NDC_Changshu,RDC_Taiyuan2,Period_007,29160,,,7
NDC_Changshu,RDC_Hangzhou,Period_007,29100,,,7
NDC_Changshu,RDC_Baoding,Period_009,29059,,,9
NDC_Changshu,RDC_Taiyuan1,Period_010,28355,,,10
NDC_Changshu,RDC_Taiyuan2,Period_006,28340,,,6
NDC_Changshu,RDC_Huhehaote,Period_011,28228,,,11
NDC_Changshu,RDC_Guiyang,Period_011,28122,,,11
NDC_Changshu,RDC_Baoding,Period_010,28117,,,10
NDC_Changshu,RDC_Zhuzhou,Period_009,27890,,,9
NDC_Changshu,RDC_Handan,Period_009,27771,,,9
NDC_Changshu,RDC_Meishan,Period_010,27195,,,10
NDC_Changshu,RDC_Puyang,Period_008,27161,,,8
NDC_Changshu,RDC_Shanghai1,Period_005,26820,,,5
NDC_Changshu,RDC_Changchun,Period_008,26807,,,8
NDC_Changshu,RDC_Chengdu,Period_001,26801,,,1
NDC_Changshu,RDC_Beijing,Period_005,26786,,,5
NDC_Changshu,RDC_Yangzhou,Period_010,26728,,,10
NDC_Changshu,RDC_Liaoning,Period_005,26615,,,5
NDC_Changshu,RDC_Lianyungang,Period_007,26573,,,7
NDC_Changshu,RDC_Lianyungang,Period_009,26454,,,9
NDC_Changshu,RDC_Huhehaote,Period_008,26036,,,8
NDC_Changshu,RDC_Guiyang,Period_009,26011,,,9
NDC_Changshu,RDC_Changchun,Period_006,25854,,,6
NDC_Changshu,RDC_Jinzhou,Period_012,25571,,,12
NDC_Changshu,RDC_Huhehaote,Period_009,25409,,,9
NDC_Changshu,RDC_Huhehaote,Period_010,25219,,,10
NDC_Changshu,RDC_Meishan,Period_011,25155,,,11
NDC_Changshu,RDC_Taizhou,Period_011,25115,,,11
NDC_Changshu,RDC_Xian2,Period_009,25090,,,9
NDC_Changshu,RDC_Taiyuan2,Period_009,24914,,,9
NDC_Changshu,RDC_Handan,Period_008,24864,,,8
NDC_Changshu,RDC_Hefei2,Period_009,24717,,,9
NDC_Changshu,RDC_Xian1,Period_005,24670,,,5
NDC_Changshu,RDC_Kunming,Period_012,24650,,,12
NDC_Changshu,RDC_Chongqing,Period_010,24522,,,10
NDC_Changshu,RDC_Shanghai1,Period_007,24309,,,7
NDC_Changshu,RDC_Meishan,Period_009,24160,,,9
NDC_Changshu,RDC_Taiyuan2,Period_008,24086,,,8
